link,content,sentiment,location,username,display_name,created_at,like_count,reply_count,repost_count,post_id,search_term,collected_at,user_post_number
https://bsky.app/profile/smiley-george.bsky.social/post/3mao6pbvezk27,"There is a never-before-seen level of retardation in the United States, especially in the cult-hungry MAGA and Evangelical populations, which can only have come from lead poisoning, wilful ignorance and a willingness to fall for any and every con going, from AI and AK47s to Zoom meetings and ‘Zulu’*",,,smiley-george.bsky.social,George Smiley,2025-12-23T16:37:56.822Z,0,1,0,3mao6pbvezk27,AI,2025-12-23T17:39:56.975167,1
https://bsky.app/profile/marcelopedrozo.bsky.social/post/3mao6p62w3c2z,ai o pessoal não gostou do que a gente tá fazendo e agora e agora já sei vamos só trazer o pessoal antigo de volta pra ganhar nostalgia eee parabéns ótima ideia,,,marcelopedrozo.bsky.social,Marcelo Pedrozo,2025-12-23T16:37:52.809Z,0,0,0,3mao6p62w3c2z,AI,2025-12-23T17:39:57.193835,1
https://bsky.app/profile/dxcp3q9h4s.bsky.social/post/3mao6pf4qpo2o,Samsung 55-Inch Class Neo QLED 4K QN90F Series Vision AI Mini LED Smart TV w/Music Frame Included,,,dxcp3q9h4s.bsky.social,,2025-12-23T16:37:51.000Z,0,0,0,3mao6pf4qpo2o,AI,2025-12-23T17:39:57.410766,1
https://bsky.app/profile/bluefuture.bsky.social/post/3mao6p42pfc2p,"This Christmas I am buying a hard drive even though the storage I have now is enough because of the AI companies hogging all of the memory making these hard drives more expensive.

I am going to need it to store pictures and other data I collect.",,,bluefuture.bsky.social,Turn Texas Blue,2025-12-23T16:37:50.705Z,1,0,0,3mao6p42pfc2p,AI,2025-12-23T17:39:57.625853,1
https://bsky.app/profile/moti-i.bsky.social/post/3mao6ozzrbc2q,"My physician BF in LA loses 40%+ to taxes & stresses over lawsuits. Found MD Wealth Fortress as they offer tax cuts to 15%, asset protection via trusts, & AI passive income. Dr. DeVaughn Dames' plan saved his family post-$8M loss. 
Free Wed clubs till 2025, urging him to join!",,,moti-i.bsky.social,,2025-12-23T16:37:48.574Z,0,0,0,3mao6ozzrbc2q,AI,2025-12-23T17:39:57.841543,1
https://bsky.app/profile/isthiswhatwewant.bsky.social/post/3mao6oy4ges2w,"Google has updated their privacy agreements, allowing their #AI model Gemini to harvest all of your data in gmail. Here's how you opt out.

#HowTo #FYI #ProtectYourData",,,isthiswhatwewant.bsky.social,Is this what we want?,2025-12-23T16:37:46.567Z,0,0,0,3mao6oy4ges2w,AI,2025-12-23T17:39:58.060029,1
https://bsky.app/profile/jcafesin.bsky.social/post/3mao6oxyxzk2e,"I'm developing software that can MANIPULATE PEOPLE.
Assuming I'm successful, what would YOU want this software to do?
Pls COMMENT!

#LLM #LAM #AI #AGI #Entrepreneurs #analytics #BigData #statistics #deeplearning #datascience #deepfake #darkweb #security #NLP #MachineLearning #web3 #gamedev #coders",,,jcafesin.bsky.social,J. Cafesin,2025-12-23T16:37:46.455Z,0,0,0,3mao6oxyxzk2e,AI,2025-12-23T17:39:58.294308,1
https://bsky.app/profile/benjamin.bsky.social/post/3mao6oxiiok2x,"So the issue pointed out in this piece, that Google is seen as authoritative from its search engine days while its AI aggregation makes errors — this is something that will fix itself.  We will start to be skeptical about why Google gives us.

(Which is bad for Google, but you guys did this.)",,,benjamin.bsky.social,Benjamin Sharma 🇨🇦 🇺🇸,2025-12-23T16:37:45.913Z,0,0,0,3mao6oxiiok2x,AI,2025-12-23T17:39:58.511177,1
https://bsky.app/profile/flamewakephoenix.bsky.social/post/3mao6ox4yjc2o,"The annoying thing is how symptomatic it is of modern internet culture. In 2005, if we had this technology, it would have been used for ""Dubya unhinges his jaw to eat a can of leaded paint"" and the exploding cats AI video that was doing rounds on tumblr.",,,flamewakephoenix.bsky.social,,2025-12-23T16:37:45.537Z,0,1,0,3mao6ox4yjc2o,AI,2025-12-23T17:39:58.726474,1
https://bsky.app/profile/dj-rich.bsky.social/post/3mao6ouzlc22i,"Fun fact: the smart kids in my class don't use chatgpt. That includes me and my friend. What does that imply, ai strawman with a vest that merges into the straws?",,,dj-rich.bsky.social,Dni,2025-12-23T16:37:43.327Z,0,0,0,3mao6ouzlc22i,AI,2025-12-23T17:39:58.939761,1
https://bsky.app/profile/aparker.io/post/3mao6orllr22e,adjusting my priors on the 'you should learn what ai tools are capable of' stance,,,aparker.io,austin,2025-12-23T16:37:39.724Z,1,0,0,3mao6orllr22e,AI,2025-12-23T17:39:59.160674,1
https://bsky.app/profile/vertetty.bsky.social/post/3mao6ooy5tk27,最近Xのおすすめ欄が明らかAIの生成文章感があって面白みがなく、かえっておすすめ欄を見る気が削がれており助かる,,,vertetty.bsky.social,ベルト,2025-12-23T16:37:36.990Z,0,0,0,3mao6ooy5tk27,AI,2025-12-23T17:39:59.376151,1
https://bsky.app/profile/vikihun.bsky.social/post/3mao6omcphk2w,Somebody used my art to generate AI slop then had the audacity to ask me for commissions. Does anyone have any tips besides just straight up blocking them?,,,vikihun.bsky.social,vikihun,2025-12-23T16:37:34.137Z,0,0,0,3mao6omcphk2w,AI,2025-12-23T17:39:59.589783,1
https://bsky.app/profile/bluesky.awakari.com/post/3mao6omdzd724,"Pentagon will add xAI's Grok to its AI service in early 2026

Interest | Match | Feed",,,bluesky.awakari.com,Awakari,2025-12-23T16:37:34Z,0,0,0,3mao6omdzd724,AI,2025-12-23T17:39:59.804703,1
https://bsky.app/profile/fabbaloo.bsky.social/post/3mao6omo3ol24,ICYMI: printpal Milestone Signals Shift From Traditional CAD to AI Modeling #3dprinting #additivemanufacturing,,,fabbaloo.bsky.social,Fabbaloo,2025-12-23T16:37:34Z,0,0,0,3mao6omo3ol24,AI,2025-12-23T17:40:00.042591,1
https://bsky.app/profile/nic221.bsky.social/post/3mao6od56mv26,🧠 We are all spiky - Azeem Azhar www.exponentialview.co/p/we-are-all-s… #AI #JaggedFrontier,,,nic221.bsky.social,Nicole Hennig,2025-12-23T16:37:24.533Z,0,0,0,3mao6od56mv26,AI,2025-12-23T17:40:00.472920,1
